===== edge 1 =====
[the previous worker did not leave a usable hand-off note]

===== edge 2 =====
The user wants me to solve a World of Warcraft puzzle based on a set of clues.
I need to identify 5 unique classes in a 5-man group.
The roles are: 1 Tank, 1 Healer, 3 DPS.
The group composition has specific constraints.

Clues:
1.  **Roles**: 1 Tank, 1 Healer, 3 DPS.
2.  **Armor**: Two are plate wearers, two are cloth wearers. (Wait, 5 people. 2 plate, 2 cloth. That's 4. The 5th must be mail or leather. Let's re-read carefully: "Two are plate wearers and two are cloth wearers." This implies the 5th person wears something else, likely Mail or Leather).
3.  **Final Boss**: Both the tank and the healer are casting holy spells.
4.  **DPS**: Ice and fire are being used, each one by a different DPS.
5.  **Bear**: A bear from the group is attacking the boss.
6.  **Metamorphosis**: Metamorphosis is cast.
7.  **Loot**: "Kilt of the Forgotten One" drops, but no one can use it.
8.  **Classes**: All classes are unique.

Let's break down the clues.

**Clue 5: A bear from the group is attacking the boss.**
*   In WoW, the class that uses a bear form is the **Druid**.
*   Druids can be Tanks (Feral Bear) or DPS (Feral Cat, Balance Moonkin, Resto Healer).
*   Since there is a bear attacking, there is a **Druid** in the group.
*   Druids wear **Mail** armor.
*   This fits the "Two plate, two cloth" description if the Druid is the 5th person (Mail).

**Clue 6: Metamorphosis is cast.**
*   **Metamorphosis** is a signature ability of the **Demon Hunter**.
*   Demon Hunters wear **Mail** armor.
*   Wait, if the Druid is Mail and the Demon Hunter is Mail, that's two Mail wearers.
*   The prompt says "Two are plate wearers and two are cloth wearers." It doesn't explicitly say the 5th is Mail, but it implies the distribution is 2-2-1.
*   Let's check if Demon Hunter is the only class with Metamorphosis. Yes, it's the DH class ability.
*   So we have a **Demon Hunter**.
*   Demon Hunters are DPS.
*   Demon Hunters use Fel magic (usually), but let's check the "Ice and Fire" clue.

**Clue 3: Both the tank and the healer are casting holy spells.**
*   **Holy spells** are typically associated with **Paladins** and **Priests**.
*   **Paladins** wear **Plate**.
*   **Priests** wear **Cloth**.
*   The Tank is casting holy spells.
    *   Paladin Tanks (Protection) use Holy spells (Crusader Strike, Hammer of the Righteous, etc.).
    *   Priest Tanks? No.
    *   So the **Tank** is likely a **Paladin**.
*   The Healer is casting holy spells.
    *   Holy Paladin (Healer) uses Holy spells.
    *   Holy Priest (Healer) uses Holy spells.
    *   Resto Druid uses Nature spells.
    *   Resto Shaman uses Nature spells.
    *   So the **Healer** is likely a **Priest** (Holy spec) or a **Paladin** (Holy spec).
*   Since all classes are unique, we can't have two Paladins.
*   If the Tank is a Paladin, the Healer must be a **Priest** (Holy spec).
*   Let's check armor:
    *   Paladin = Plate.
    *   Priest = Cloth.
*   Current roster:
    *   Tank: Paladin (Plate)
    *   Healer: Priest (Cloth)
    *   DPS: Druid (Mail) - from the Bear clue.
    *   DPS: Demon Hunter (Mail) - from the Metamorphosis clue.
*   We need 3 DPS. We have Druid and Demon Hunter. We need one more DPS.
*   We have 2 Plate (Paladin + ?), 2 Cloth (Priest + ?), 1 Mail (Druid + DH? No, prompt says "Two are plate wearers and two are cloth wearers").
    *   If Druid is Mail and DH is Mail, that's 2 Mail.
    *   The prompt says "Two are plate wearers and two are cloth wearers." It doesn't mention Mail.
    *   Maybe the 5th person is the one wearing Mail/Leather?
    *   Let's re-read: "Two are plate wearers and two are cloth wearers."
    *   This leaves 1 person unaccounted for in terms of armor description.
    *   If the Druid is Mail and DH is Mail, we have 2 Mail.
    *   If the Tank is Plate and Healer is Cloth, we have 1 Plate, 1 Cloth.
    *   We need 1 more Plate and 1 more Cloth to satisfy "Two are plate... two are cloth".
    *   So the 5th person (the 3rd DPS) must be Plate or Cloth.
    *   Let's look at the remaining DPS slots.
    *   We have Druid (Mail) and Demon Hunter (Mail).
    *   Wait, is Demon Hunter the only one with Metamorphosis? Yes.
    *   Is Druid the only one with a Bear? Yes.
